Fecha Operacion,Fecha Valor,Descripcion,Referencia,Cargo,Abono,Saldo
01/08/2026,01/08/2026,PAGO NOMINA AGOSTO 2026,NOMINA082026,42350.00,,203470.00
02/08/2026,02/08/2026,PAGO SERVICIOS CFE PLAZA IWOL,CFE00182026,8420.00,,195050.00
03/08/2026,03/08/2026,SPEI RECIBIDO MARIA ELENA RODRIGUEZ TORRES,CP-2026-08-L8,,22156.00,217206.00
03/08/2026,03/08/2026,SPEI RECIBIDO JOSE LUIS GARCIA HERNANDEZ,CP-2026-08-L9,,22156.00,239362.00
04/08/2026,04/08/2026,SPEI RECIBIDO SOFIA PEREZ LUNA,CP-2026-08-L14,,11020.00,250382.00
04/08/2026,04/08/2026,SPEI RECIBIDO CARLOS MENDOZA VAZQUEZ,CP-2026-08-L11,,17980.00,268362.00
04/08/2026,04/08/2026,SPEI RECIBIDO ROBERTO JIMENEZ CASTILLO,CP-2026-08-L13,,17980.00,286342.00
05/08/2026,05/08/2026,SPEI RECIBIDO ANA PATRICIA MORALES SANCHEZ,CP-2026-08-L10,,17980.00,304322.00
05/08/2026,05/08/2026,SPEI RECIBIDO MIGUEL ANGEL GOMEZ RUIZ,CP-2026-08-L15,,11020.00,315342.00
05/08/2026,05/08/2026,SPEI RECIBIDO TATIANA CRUZ MENDEZ,CP-2026-08-L16,,11020.00,326362.00
05/08/2026,05/08/2026,SPEI RECIBIDO LUCIA FERNANDEZ REYES,CP-2026-08-L12,,17980.00,344342.00
05/08/2026,05/08/2026,SPEI RECIBIDO FERNANDO RAMIREZ ORTEGA,CP-2026-08-L17,,11020.00,355362.00
06/08/2026,06/08/2026,TRANSFERENCIA RECIBIDA DEPOSITO ADICIONAL,TRF00682026,,5000.00,360362.00
