No,Nombre,Fecha,Hora,Status
E003,HUMBERTO ROMERO HERNANDEZ,2026-08-31,07:58,0
E005,MARIA DEL CARMEN MORALES LARA,2026-08-31,07:58,0
E004,DEMETRIO MARTINEZ MEJIA,2026-08-31,08:00,0
E001,VERONICA NAVA MARTINEZ,2026-08-31,08:01,0
E008,JORGE MORALES LARA,2026-08-31,08:58,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-08-31,08:59,0
E006,RENE SANCHEZ DEGOLLADO,2026-08-31,12:58,0
E007,JUAN CARRILLO SANTANA,2026-08-31,14:28,0
E005,MARIA DEL CARMEN MORALES LARA,2026-08-31,14:58,1
E001,VERONICA NAVA MARTINEZ,2026-08-31,16:02,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-08-31,17:02,1
E008,JORGE MORALES LARA,2026-08-31,17:59,1
E004,DEMETRIO MARTINEZ MEJIA,2026-08-31,20:01,1
E006,RENE SANCHEZ DEGOLLADO,2026-08-31,20:58,1
E007,JUAN CARRILLO SANTANA,2026-08-31,21:29,1
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-01,07:58,1
E005,MARIA DEL CARMEN MORALES LARA,2026-09-01,07:59,0
E001,VERONICA NAVA MARTINEZ,2026-09-01,08:00,0
E008,JORGE MORALES LARA,2026-09-01,09:00,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-01,09:01,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-01,13:00,0
E007,JUAN CARRILLO SANTANA,2026-09-01,14:28,0
E001,VERONICA NAVA MARTINEZ,2026-09-01,15:59,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-01,17:00,1
E008,JORGE MORALES LARA,2026-09-01,17:59,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-01,20:58,1
E007,JUAN CARRILLO SANTANA,2026-09-01,21:30,1
E005,MARIA DEL CARMEN MORALES LARA,2026-09-02,07:58,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-02,07:59,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-02,08:01,0
E001,VERONICA NAVA MARTINEZ,2026-09-02,08:20,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-02,09:00,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-02,12:58,0
E007,JUAN CARRILLO SANTANA,2026-09-02,14:32,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-02,14:58,1
E001,VERONICA NAVA MARTINEZ,2026-09-02,15:58,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-02,16:58,1
E004,DEMETRIO MARTINEZ MEJIA,2026-09-02,20:02,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-02,21:02,1
E007,JUAN CARRILLO SANTANA,2026-09-02,21:30,1
E005,MARIA DEL CARMEN MORALES LARA,2026-09-03,07:58,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-03,07:59,1
E001,VERONICA NAVA MARTINEZ,2026-09-03,08:00,0
